,access_right,communities,conference_acronym,conference_dates,conference_place,conference_title,conference_url,contributors,creators,description,doi,keywords,license,notes,prereserve_doi,publication_date,publication_type,references,title,upload_type,files;
"0,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Ruhr-Universität-Bochum, Deutschland', 'name': 'Arzhanov, Yury'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland', 'name': 'Roeder, Thorsten'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623452,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623452', 'recid': 4623452}"",2014-03-26,conferencepaper,[],The Glossarium Graeco-Arabicum,publication,['ARZHANOV_Yuri_The_Glossarium.pdf']";
"1,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Heidelberg University, Germany', 'name': 'Bögel, Thomas'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Strötgen, Jannik'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Mayer, Christoph'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Gertz, Michael'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623454,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623454', 'recid': 4623454}"",2014-03-26,conferencepaper,[],A Flexible NLP Pipeline for Computational Narratology,publication,['B橤EL_Thomas_A_Flexible_NLP_Pipeline_for_Computational_Narratology.pdf']";
"2,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Stiftung Archiv der deutschen Frauenbewegung, Kassel, Deutschland', 'name': 'Wolff, Kerstin'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Berlin, Deutschland', 'name': 'Geyken, Alexander'}, {'affiliation': 'Institut für Germanistik und Zentrum für Medien und Interaktivität der JLU Gießen, Deutschland', 'name': 'Gloning, Thomas'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623456,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623456', 'recid': 4623456}"",2014-03-26,conferencepaper,[],Frauenfragen um 1900 als Gegenstand kontroverser Kommunikation im Umkreis der ›ersten‹ Frauenbewegung. Wie können digitale Ressourcen die Untersuchung und die Ergebnisdokumentation verbessern?,publication,['WOLFF_Kerstin_Frauenfragen_um_1900_als_Gegenstand_kontroverser_Kommunikation_im_Umkreis.pdf']";
"3,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Institut für Europäische Kunstgeschichte, Universität Heidelberg, Germany', 'name': 'Wübbena, Thorsten'}, {'affiliation': 'Exzellenzcluster """"Asien und Europa"""", Universität Heidelberg, Germany', 'name': 'Arnold, Matthias'}, {'affiliation': 'Exzellenzcluster """"Asien und Europa"""", Universität Heidelberg, Germany', 'name': 'Decker, Eric'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623458,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623458', 'recid': 4623458}"",2014-03-26,conferencepaper,[],""""""Losing My Religion"""" – Einsatz einer Videoannotationsdatenbank in der kunstgeschichtlichen Analyse von Musikvideos"",publication,['WšBBENA_Thorsten_Losing_My_Religion_Einsatz_einer_Videoannotationsdatenbank_in_der_kunstgeschichtlichen.pdf']";
"4,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Konstanz, Germany', 'name': 'Bögel, Tina'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Gold, Valentin'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Hautli-Janisz, Anette'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Rohrdantz, Christian'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Sulger, Sebastian'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Butt, Miriam'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Holzinger, Katharina'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Keim, Daniel A.'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623460,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623460', 'recid': 4623460}"",2014-03-26,conferencepaper,[],Auf den Weg zur Visualisierung von linguistischen Mustern der Deliberation: eine Fallstudie anhand der Daten von S21,publication,['B橤EL_Tina_Auf_den_Weg_zur_Visualisierung_von_linguistischen_Mustern_der_Deliberation.pdf']";
"5,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Max-Planck-Institut für europäische Rechtsgeschichte', 'name': 'Caesar, Ingo'}, {'affiliation': 'Institut für Philosophie der Goethe-Universität Frankfurt', 'name': 'Wagner, Andreas'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623462,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623462', 'recid': 4623462}"",2014-03-26,conferencepaper,[],Die Schule von Salamanca. Eine digitale Quellensammlung und ein Wörterbuch ihrer juristisch-politischen Sprache,publication,['CAESAR_Ingo_Die_Schule_von_Salamanca_Eine_digitale_Quellensammlung_und_ein_W”rterbuch.pdf']";
"6,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Karlsruher Institut für Technologie, Germany', 'name': 'Chandna, Swati'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Busch, Hannah'}, {'affiliation': 'Technische Universität Darmstadt, Germany', 'name': 'Krause, Celia'}, {'affiliation': 'Technische Universität Darmstadt, Germany', 'name': 'Schmid, Oliver'}, {'affiliation': 'Technische Universität Darmstadt, Universität Trier, Germany', 'name': 'Vanscheidt, Philipp'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623464,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623464', 'recid': 4623464}"",2014-03-26,conferencepaper,[],""eCodicology - Mittelalterliche Handschriften als Gegenstand """"archäologischer"""" Forschung"",publication,['CHANDNA_Swati_eCodicology_Mittelalterliche_Handschriften_als_Gegenstand.pdf']";
"7,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Chiarcos, Christian'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Chobotsky, Jens'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Detmold, Gaye'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Mittmann, Roland'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Sukhareva, Maria'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623466,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623466', 'recid': 4623466}"",2014-03-26,conferencepaper,[],New Technologies for Old Germanic Languages: Resources and Research on Parallel Gospels in Older Continental Western Germanic,publication,['CHIARCOS_Christian_New Technologies_for_Old_Germanic_Languages_Resources_and_Research_on_Parallel_Gospels.pdf']";
"8,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'Cividini, Iacopo'}, {'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'De Feo, Adriana'}, {'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'Kelnreiter, Franz'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623468,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623468', 'recid': 4623468}"",2014-03-26,conferencepaper,[],""Zwischen Ton und Textgenese: Digital gestützte Verfahren zur kritischen Edition von Operntexten in der """"Online-Edition der Libretti zu Mozarts Opern"""""",publication,['CIVIDINI_Iacopo_Zwischen_Ton_und_Textgenese_Digital_gest�tzte_Verfahren_zur_kritischen_Edition_von_Operntexten.pdf']";
"9,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2014,25.03.2014-28.03.2014,Passau,""DHd 2014 Digital Humanities - methodischer Brückenschlag oder """"feindliche Übernahme""""? Chancen und Risiken der Begegnung zwischen Geisteswissenschaften und Informatik. 1. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://www.dhd2014.uni-passau.de/,""[{'affiliation': 'Lehrstuhl für Digital Humanitites, Universität Passau', 'name': 'Rehbein, Malte', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Albertina, Austria', 'name': 'Doppelbauer, Regina'}]"",A single abstract from the DHd-2014 Book of Abstracts.,10.5281/zenodo.4623472,['DHd2014'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623472', 'recid': 4623472}"",2014-03-26,conferencepaper,[],Albertina - Sammlungen online: eine digitale Ressource und ihre Nutzung,publication,['DOPPELBAUER_Regina_Albertina_Sammlungen_online_eine_digitale_Ressource.pdf']";
